domain_a,domain_b,priority_rule,description
medical_knowledge,truemark_mint,medical_overrides,"Medical privacy and patient-safety constraints override packaging or licensing preferences"
medical_knowledge,financial_knowledge,medical_overrides,"Health constraints override financial optimization when patient safety or privacy is implicated"
medical_knowledge,industrial_knowledge,medical_overrides,"Clinical safety and care constraints override process throughput goals"
financial_knowledge,truemark_mint,financial_overrides,"Financial disclosure and audit constraints override packaging preferences"
financial_knowledge,industrial_knowledge,financial_overrides,"Cost and disclosure constraints override non-critical process expansion"
macro_economic_knowledge,financial_knowledge,macro_context_priority,"Macro conditions frame interpretation of financial risk and pricing decisions"
macro_economic_knowledge,micro_economic_knowledge,macro_context_priority,"Macro trends contextualize micro-level decisions and should frame interpretation"
industrial_knowledge,truemark_mint,industrial_overrides,"Operational safety and certification constraints override packaging shortcuts"
general_datasets,truemark_mint,support_only,"General data informs packaging choices but does not override TrueMark issuance logic"
general_datasets,medical_knowledge,support_only,"General data informs medical reasoning but does not override medical facts"
general_datasets,financial_knowledge,support_only,"General data informs financial reasoning but does not override finance-specific rules"
general_datasets,industrial_knowledge,support_only,"General data informs industrial reasoning but does not override industry-specific standards"
general_datasets,macro_economic_knowledge,support_only,"General data informs macro reasoning but does not override macro-specific conditions"
general_datasets,micro_economic_knowledge,support_only,"General data informs micro reasoning but does not override micro-specific logic"
