id,name,sequence,description,unit,category,tech_spec,orb_visibility,required_for,implications,edge_case_handling,version,keywords,semantic_tags
layer_identity,Identity Attribution Layer,10,Defines creator and ownership,None,Certification Layer,"DID + public key + verifiable credential",hidden,All assets,"Establishes provenance and legal ownership","Anonymous creator requires escrow identity resolution",1.2,"identity,ownership","provenance,attribution"
layer_content,Content Encoding Layer,20,Represents the knowledge or material,None,Certification Layer,"JSON-LD + schema.org + custom TrueMark schema",hidden,All assets,"Enables machine-readable knowledge","Corrupted encoding triggers re-encoding from source",1.3,"content,encoding","structured,knowledge"
layer_metadata,Structured Metadata Layer,30,Descriptive attributes,None,Certification Layer,"Dublin Core + custom schema + tags",hidden,All assets,"Improves discoverability and classification","Missing metadata auto-populated from content analysis with human review flag",1.2,"metadata,attributes","descriptive"
layer_hash,Cryptographic Hash Layer,40,Content fingerprint,None,Certification Layer,"SHA-512 + BLAKE3 (dual hash)",hidden,All assets,"Detects any tampering","Hash collision (theoretical) requires secondary verification method",1.1,"hash,fingerprint","integrity,cryptographic"
layer_license,License Definition Layer,50,Usage rights and permissions,None,Certification Layer,"CC + custom TrueMark License v1 + usage restrictions",hidden,All assets,"Governs all commercial and derivative use","Conflicting license terms require priority resolution rule (TrueMark > derivative)",1.4,"license,rights","permissions,usage"
layer_timestamp,Multi-Time Anchor Layer,60,Timestamp in multiple formats,None,Certification Layer,"UTC + NTP + blockchain timestamps",hidden,All assets,"Provides temporal proof","Clock skew across sources requires median consensus",1.2,"timestamp,time","temporal,anchor"
layer_chain,Multi-Chain Anchor Layer,70,Blockchain reference,None,Certification Layer,"Multiple L1/L2 anchors (e.g., Ethereum, Polygon, etc.)",hidden,Enterprise only,"Enhances regulatory defensibility","Chain-specific outage requires fallback to alternate chain",1.3,"chain,anchor","blockchain,multi_chain"
layer_encryption,Encryption Layer,80,ChaCha20-based or equivalent,None,Certification Layer,"ChaCha20-Poly1305 + XChaCha20",hidden,Optional,"Protects sensitive content","Key rotation policy must be enforced every 2 years",1.1,"encryption,security","confidentiality"
layer_signature,Digital Signature Layer,90,Verification signature,None,Certification Layer,"Ed25519 or post-quantum Dilithium",hidden,All assets,"Enables cryptographic verification","Signature algorithm deprecation requires migration plan",1.3,"signature,verification","authenticity"
layer_render,Certificate Render Layer,100,Visual representation,None,Certification Layer,"PDF + SVG + HTML with embedded metadata",visible,"Preview & final cert","Provides human-readable output","Render template update requires versioned certificate re-generation",1.2,"render,visual","certificate,display"
layer_qr,QR Verification Layer,110,Scan validation,None,Certification Layer,"Dynamic QR with offline fallback hash",visible,All assets,"Enables easy field verification","QR degradation over time requires refresh protocol",1.2,"qr,verification","scan,portable"
layer_audit,Audit Trace Layer,120,Traceability logs,None,Certification Layer,"Immutable append-only log with timestamps",hidden,Enterprise only,"Supports compliance audits","Log volume explosion requires summarization + archiving",1.4,"audit,trace","traceability,logs"
layer_registry,Registry Anchor Layer,130,Global registry linkage,None,Certification Layer,"TrueMark Global Registry DID",hidden,All assets,"Links to central verification source","Registry outage requires cached local validation",1.2,"registry,anchor","global,linkage"
